Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.8% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 42.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 19.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 18.6% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 17.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 17.0% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.8% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.9% | Temp: 41.4°C | Status: OK
