Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 16.5% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.5% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.4% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 12.4% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.6% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.4% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
